"outcome","data","contrast","trainsVsFull","rescale","algorithm","cvCorr"
"BDI","IAPS","implBaseline","full","cente","pcr",-0.0617679141338919
"BDI","IAPS","implBaseline","full","cente","pcr",-0.0431751573113583
"BDI","IAPS","implBaseline","full","cente","pcr",0.0468023500279872
"BDI","IAPS","implBaseline","full","cente","pcr",0.0172975183039385
"BDI","IAPS","implBaseline","full","cente","pcr",-0.0918598937232068
"BDI","IAPS","implBaseline","full","cente","pcr",0.00778100608791241
"BDI","IAPS","implBaseline","full","cente","pcr",-0.0111987114199471
"BDI","IAPS","implBaseline","full","cente","pcr",0.195346734829734
"BDI","IAPS","implBaseline","full","cente","pcr",0.106079654598484
"BDI","IAPS","implBaseline","full","cente","pcr",-0.0393977108663602
"BDI","IAPS","implBaseline","full","cente","pls",-0.100139476563012
"BDI","IAPS","implBaseline","full","cente","pls",-0.320487781171242
"BDI","IAPS","implBaseline","full","cente","pls",0.149041442109835
"BDI","IAPS","implBaseline","full","cente","pls",0.134726379115123
"BDI","IAPS","implBaseline","full","cente","pls",0.158494902891445
"BDI","IAPS","implBaseline","full","cente","pls",-0.0382703128077133
"BDI","IAPS","implBaseline","full","cente","pls",0.00815167391581337
"BDI","IAPS","implBaseline","full","cente","pls",-0.0482497659089176
"BDI","IAPS","implBaseline","full","cente","pls",-0.0302789545431407
"BDI","IAPS","implBaseline","full","cente","pls",0.00541135051832677
"BDI","IAPS","implBaseline","full","cente","svr",-0.268460832335426
"BDI","IAPS","implBaseline","full","cente","svr",-0.0324705895436924
"BDI","IAPS","implBaseline","full","cente","svr",0.130607077343736
"BDI","IAPS","implBaseline","full","cente","svr",-0.113728856781288
"BDI","IAPS","implBaseline","full","cente","svr",0.145129553209254
"BDI","IAPS","implBaseline","full","cente","svr",0.261601714733608
"BDI","IAPS","implBaseline","full","cente","svr",-0.164630001107667
"BDI","IAPS","implBaseline","full","cente","svr",0.154559259593836
"BDI","IAPS","implBaseline","full","cente","svr",0.0554521055652865
"BDI","IAPS","implBaseline","full","cente","svr",-0.0145191923326676
"BDI","IAPS","implBaseline","full","cente","rf",-0.0589010473903011
"BDI","IAPS","implBaseline","full","cente","rf",-0.054887444810849
"BDI","IAPS","implBaseline","full","cente","rf",-0.0996600302475277
"BDI","IAPS","implBaseline","full","cente","rf",-0.0954216897241166
"BDI","IAPS","implBaseline","full","cente","rf",0.00159179659420521
"BDI","IAPS","implBaseline","full","cente","rf",-0.0949088229701495
"BDI","IAPS","implBaseline","full","cente","rf",0.164173271414906
"BDI","IAPS","implBaseline","full","cente","rf",-0.0653566655162579
"BDI","IAPS","implBaseline","full","cente","rf",-0.0454056170537071
"BDI","IAPS","implBaseline","full","cente","rf",-0.0468286057952497
"BDI","IAPS","implBaseline","full","nocen","pcr",0.0928483868776626
"BDI","IAPS","implBaseline","full","nocen","pcr",-0.118865903680402
"BDI","IAPS","implBaseline","full","nocen","pcr",0.114063700364174
"BDI","IAPS","implBaseline","full","nocen","pcr",-0.095549703523989
"BDI","IAPS","implBaseline","full","nocen","pcr",0.0229790683061961
"BDI","IAPS","implBaseline","full","nocen","pcr",0.0350901801099881
"BDI","IAPS","implBaseline","full","nocen","pcr",-0.0567531156545873
"BDI","IAPS","implBaseline","full","nocen","pcr",0.0171405741092296
"BDI","IAPS","implBaseline","full","nocen","pcr",0.133750289852683
"BDI","IAPS","implBaseline","full","nocen","pcr",-0.00423063414214964
"BDI","IAPS","implBaseline","full","nocen","pls",-0.240300589184648
"BDI","IAPS","implBaseline","full","nocen","pls",-0.0117586507912226
"BDI","IAPS","implBaseline","full","nocen","pls",-0.0734366038269013
"BDI","IAPS","implBaseline","full","nocen","pls",-0.0939440964650546
"BDI","IAPS","implBaseline","full","nocen","pls",-0.276218510764745
"BDI","IAPS","implBaseline","full","nocen","pls",-0.141416455795363
"BDI","IAPS","implBaseline","full","nocen","pls",-0.220426517501773
"BDI","IAPS","implBaseline","full","nocen","pls",-0.010068657570203
"BDI","IAPS","implBaseline","full","nocen","pls",-0.109474382312658
"BDI","IAPS","implBaseline","full","nocen","pls",0.124649342664694
"BDI","IAPS","implBaseline","full","nocen","svr",-0.13529914136174
"BDI","IAPS","implBaseline","full","nocen","svr",0.0249866896435938
"BDI","IAPS","implBaseline","full","nocen","svr",-0.117027630932132
"BDI","IAPS","implBaseline","full","nocen","svr",-0.057375462858615
"BDI","IAPS","implBaseline","full","nocen","svr",-0.155519223284412
"BDI","IAPS","implBaseline","full","nocen","svr",-0.0596044511929241
"BDI","IAPS","implBaseline","full","nocen","svr",-0.0366744022000564
"BDI","IAPS","implBaseline","full","nocen","svr",-0.152168271147222
"BDI","IAPS","implBaseline","full","nocen","svr",0.0459432093120623
"BDI","IAPS","implBaseline","full","nocen","svr",-0.0083637280237842
"BDI","IAPS","implBaseline","full","nocen","rf",-0.130649298594764
"BDI","IAPS","implBaseline","full","nocen","rf",0.263979593266114
"BDI","IAPS","implBaseline","full","nocen","rf",0.0118159068556918
"BDI","IAPS","implBaseline","full","nocen","rf",-0.0970775007261025
"BDI","IAPS","implBaseline","full","nocen","rf",0.0121783578289491
"BDI","IAPS","implBaseline","full","nocen","rf",0.251829662549577
"BDI","IAPS","implBaseline","full","nocen","rf",-0.197224378324967
"BDI","IAPS","implBaseline","full","nocen","rf",-0.177109015617584
"BDI","IAPS","implBaseline","full","nocen","rf",-0.10099424123305
"BDI","IAPS","implBaseline","full","nocen","rf",-0.088157140867726
"BDI","IAPS","implBaseline","full","zscor","pcr",0.101330191480543
"BDI","IAPS","implBaseline","full","zscor","pcr",0.0795654400165256
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.100238189234233
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.127467875727008
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.120797434790139
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.0601070581473217
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.00707254507235844
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.145750993580433
"BDI","IAPS","implBaseline","full","zscor","pcr",-0.115493067312768
"BDI","IAPS","implBaseline","full","zscor","pcr",0.0912005782417076
"BDI","IAPS","implBaseline","full","zscor","pls",-0.101814182003194
"BDI","IAPS","implBaseline","full","zscor","pls",-0.0180271680234518
"BDI","IAPS","implBaseline","full","zscor","pls",0.158882520485637
"BDI","IAPS","implBaseline","full","zscor","pls",0.0681956612325565
"BDI","IAPS","implBaseline","full","zscor","pls",0.138400443364415
"BDI","IAPS","implBaseline","full","zscor","pls",-0.16071108962808
"BDI","IAPS","implBaseline","full","zscor","pls",-0.178860180239032
"BDI","IAPS","implBaseline","full","zscor","pls",0.0404586523906549
"BDI","IAPS","implBaseline","full","zscor","pls",-0.11926433131826
"BDI","IAPS","implBaseline","full","zscor","pls",-0.0661060332733594
"BDI","IAPS","implBaseline","full","zscor","svr",-0.369830167058882
"BDI","IAPS","implBaseline","full","zscor","svr",-0.0293436155483965
"BDI","IAPS","implBaseline","full","zscor","svr",-0.052878307062237
"BDI","IAPS","implBaseline","full","zscor","svr",-0.159181341773832
"BDI","IAPS","implBaseline","full","zscor","svr",-0.0485149622347197
"BDI","IAPS","implBaseline","full","zscor","svr",-0.133954066980612
"BDI","IAPS","implBaseline","full","zscor","svr",-0.0162716124347979
"BDI","IAPS","implBaseline","full","zscor","svr",-0.0469705357046955
"BDI","IAPS","implBaseline","full","zscor","svr",-0.135962969538076
"BDI","IAPS","implBaseline","full","zscor","svr",0.0402482999393628
"BDI","IAPS","implBaseline","full","zscor","rf",0.0829730034603887
"BDI","IAPS","implBaseline","full","zscor","rf",-0.115444536521292
"BDI","IAPS","implBaseline","full","zscor","rf",-0.137325743240156
"BDI","IAPS","implBaseline","full","zscor","rf",0.180437486522449
"BDI","IAPS","implBaseline","full","zscor","rf",0.058596431200769
"BDI","IAPS","implBaseline","full","zscor","rf",0.0279335790316407
"BDI","IAPS","implBaseline","full","zscor","rf",-0.0491650755862068
"BDI","IAPS","implBaseline","full","zscor","rf",0.0544719216855538
"BDI","IAPS","implBaseline","full","zscor","rf",-0.0380417483624977
"BDI","IAPS","implBaseline","full","zscor","rf",0.0404728998625817
"BDI","IAPS","implBaseline","train","cente","pcr",0.0313973748963562
"BDI","IAPS","implBaseline","train","cente","pcr",0.0889395227143726
"BDI","IAPS","implBaseline","train","cente","pcr",0.2958012181836
"BDI","IAPS","implBaseline","train","cente","pcr",0.150071118159422
"BDI","IAPS","implBaseline","train","cente","pcr",-0.118274540242198
"BDI","IAPS","implBaseline","train","cente","pcr",0.0635683468994526
"BDI","IAPS","implBaseline","train","cente","pcr",0.0917135642035273
"BDI","IAPS","implBaseline","train","cente","pcr",0.0448214650552697
"BDI","IAPS","implBaseline","train","cente","pcr",0.14832945671461
"BDI","IAPS","implBaseline","train","cente","pcr",-0.263766571816819
"BDI","IAPS","implBaseline","train","cente","pls",-0.13695385902429
"BDI","IAPS","implBaseline","train","cente","pls",-0.00901889521426295
"BDI","IAPS","implBaseline","train","cente","pls",0.272752998054065
"BDI","IAPS","implBaseline","train","cente","pls",0.0287997193227384
"BDI","IAPS","implBaseline","train","cente","pls",0.213240350679152
"BDI","IAPS","implBaseline","train","cente","pls",0.247439553497941
"BDI","IAPS","implBaseline","train","cente","pls",0.0395868600094186
"BDI","IAPS","implBaseline","train","cente","pls",-0.0198368257412241
"BDI","IAPS","implBaseline","train","cente","pls",-0.0544920202499348
"BDI","IAPS","implBaseline","train","cente","pls",0.230169303516606
"BDI","IAPS","implBaseline","train","cente","svr",0.0206111729498679
"BDI","IAPS","implBaseline","train","cente","svr",0.160557059953834
"BDI","IAPS","implBaseline","train","cente","svr",0.271993442815913
"BDI","IAPS","implBaseline","train","cente","svr",-0.294765910324116
"BDI","IAPS","implBaseline","train","cente","svr",0.149761469091523
"BDI","IAPS","implBaseline","train","cente","svr",0.12230021331207
"BDI","IAPS","implBaseline","train","cente","svr",-0.192961512844639
"BDI","IAPS","implBaseline","train","cente","svr",0.0885192849366901
"BDI","IAPS","implBaseline","train","cente","svr",0.0366173629458681
"BDI","IAPS","implBaseline","train","cente","svr",-0.223814115855951
"BDI","IAPS","implBaseline","train","cente","rf",0.102936467304091
"BDI","IAPS","implBaseline","train","cente","rf",-0.193130647053616
"BDI","IAPS","implBaseline","train","cente","rf",0.00608965597018577
"BDI","IAPS","implBaseline","train","cente","rf",0.239433526966088
"BDI","IAPS","implBaseline","train","cente","rf",0.0988691024524121
"BDI","IAPS","implBaseline","train","cente","rf",-0.0284300540238617
"BDI","IAPS","implBaseline","train","cente","rf",0.0848205275492379
"BDI","IAPS","implBaseline","train","cente","rf",-0.152993342511314
"BDI","IAPS","implBaseline","train","cente","rf",0.0410230516920529
"BDI","IAPS","implBaseline","train","cente","rf",-0.0708332586156173
"BDI","IAPS","implBaseline","train","nocen","pcr",0.342949525630019
"BDI","IAPS","implBaseline","train","nocen","pcr",-0.00126625714538825
"BDI","IAPS","implBaseline","train","nocen","pcr",0.0855673738296541
"BDI","IAPS","implBaseline","train","nocen","pcr",-0.0110520086662527
"BDI","IAPS","implBaseline","train","nocen","pcr",0.156435685930215
"BDI","IAPS","implBaseline","train","nocen","pcr",0.130537481719886
"BDI","IAPS","implBaseline","train","nocen","pcr",-0.0845029858055159
"BDI","IAPS","implBaseline","train","nocen","pcr",0.216920101941997
"BDI","IAPS","implBaseline","train","nocen","pcr",-0.0797238365781802
"BDI","IAPS","implBaseline","train","nocen","pcr",-0.0315281445979414
"BDI","IAPS","implBaseline","train","nocen","pls",-0.163473316059044
"BDI","IAPS","implBaseline","train","nocen","pls",-0.0763086408477415
"BDI","IAPS","implBaseline","train","nocen","pls",-0.0510790710117795
"BDI","IAPS","implBaseline","train","nocen","pls",0.0876308955784077
"BDI","IAPS","implBaseline","train","nocen","pls",0.0485227360584309
"BDI","IAPS","implBaseline","train","nocen","pls",0.0371385000137727
"BDI","IAPS","implBaseline","train","nocen","pls",0.160982856439615
"BDI","IAPS","implBaseline","train","nocen","pls",-0.0473784542269268
"BDI","IAPS","implBaseline","train","nocen","pls",-0.105932798088045
"BDI","IAPS","implBaseline","train","nocen","pls",-0.145617869958928
"BDI","IAPS","implBaseline","train","nocen","svr",0.0103275801867692
"BDI","IAPS","implBaseline","train","nocen","svr",-0.0616206245282036
"BDI","IAPS","implBaseline","train","nocen","svr",0.00688229016323545
"BDI","IAPS","implBaseline","train","nocen","svr",-0.0386619660117337
"BDI","IAPS","implBaseline","train","nocen","svr",-0.193954407285999
"BDI","IAPS","implBaseline","train","nocen","svr",0.15277486038924
"BDI","IAPS","implBaseline","train","nocen","svr",-0.181464796302258
"BDI","IAPS","implBaseline","train","nocen","svr",0.177258427272769
